사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-07,3호선,0312,불광,14,2,9751,1569,20895,6531,56895,12136,68408,34292,39033,26988,27178,22825,25529,24152,26567,27379,26084,28998,25343,28141,27413,31050,28293,35391,29429,43625,32334,65101,17398,49812,14252,29687,11516,26356,8077,23265,3491,13690,485,4508,1,1,0,0,0,0
2024-07,3호선,0313,녹번,62,6,10407,548,28051,3914,76445,8367,82077,18182,43562,10586,27059,9800,22317,10898,22430,12629,20161,14074,17357,16183,16221,20010,17155,26258,18123,38235,20221,66818,10128,53752,7980,31638,6182,27636,4411,24840,1628,14247,283,3952,0,0,0,0,0,0
2024-07,3호선,0314,홍제,89,8,10463,1553,26003,7310,70155,10838,76295,24317,47210,20507,32349,17772,29188,18053,30346,19888,27460,21936,24727,24236,25008,29173,27282,35389,29509,45752,27040,65809,15293,54601,12449,32913,9726,29193,6982,24891,2702,14961,396,4065,0,0,1,1,0,0
2024-07,3호선,0315,무악재,25,2,2367,147,5762,1513,18429,3317,22077,5928,12812,3808,8238,3423,7376,3727,7053,4563,6290,5228,5581,5807,5189,7088,5964,9089,7053,11562,7497,17909,3723,14899,2742,9129,2051,8325,1441,7188,719,5045,128,1405,0,0,0,0,0,0
2024-07,3호선,0316,독립문,217,4,5224,965,7158,6346,16340,15392,20626,23357,15691,17131,13897,13576,13900,11041,15096,11148,13413,12527,13450,11242,15543,12266,16640,12965,17491,14756,17226,18344,7965,14013,6222,9186,5023,8251,3431,7707,1140,4649,175,1899,4,636,0,0,0,0
2024-07,3호선,0317,경복궁(정부서울청사),50,0,2264,1706,6318,15274,14972,43893,21829,140426,20162,79846,19690,49789,26197,49028,31873,45426,38700,46232,44077,37592,51711,33785,59754,32272,86925,32406,118253,35024,46232,21888,38232,12729,35160,10984,23710,10119,8878,5470,1075,1619,1,60,0,0,0,0
2024-07,3호선,0318,안국,12,1,1719,2236,3087,27168,6383,99527,10706,136733,15065,89878,19652,62119,27317,62062,37676,54078,41093,50545,47656,46708,61101,38048,82948,34447,126005,31621,131038,28303,56802,13857,46248,8029,37828,6749,20324,6063,6574,3403,765,1137,0,13,0,0,0,0
2024-07,3호선,0319,종로3가,29,1,975,1319,1367,6835,2175,17724,3792,47437,5808,46083,8786,37360,11849,29663,13987,26920,15835,25536,18601,24106,22161,21182,28184,20930,43100,21108,57675,20620,30087,11956,21106,6882,22256,5541,18479,4237,8462,2735,1034,1013,0,15,0,0,0,0
2024-07,3호선,0320,을지로3가,26,1,746,1253,1390,11023,3896,39325,7072,87550,8997,32907,10429,16484,11458,14063,11528,13752,13535,14680,15799,12723,17934,13043,22460,15072,47944,18516,74228,23039,28715,13192,21075,7295,20711,5584,17505,4519,9055,2830,1416,920,0,6,0,0,0,0
2024-07,3호선,0321,충무로,0,0,0,0,1,0,1,0,5,0,11,0,12,0,8,0,34,0,23,0,28,0,19,0,24,0,24,0,29,0,47,0,11,0,12,0,6,0,10,0,3,0,0,0,0,0,0,0
